Generation,Max Fitness,Average Fitness,Standard Deviation,upper,lower,upper adj,lower adj
0,-25,-25,0,-25,-25,22.09877,22.09877
1,101.76216,-9.84392,37.25485,27.41093,-47.09877,74.5097,0
